location,rules,weight-dl,operator,deliveryPrice
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 10.00 then fixed price 35.00,10,<,35
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 10.00 then fixed price 50.00,10,=,50
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 15.00 then fixed price 50.00,15,<,50
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 15.00 then fixed price 65.00,15,=,65
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 20.00 then fixed price 65.00,20,<,65
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 20.00 then fixed price 80.00,20,=,80
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 25.00 then fixed price 80.00,25,<,80
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 25.00 then fixed price 140.00,25,=,140
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 80.00 then fixed price 140.00,80,<,140
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 80.00 then fixed price 280.00,80,=,280
